Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Surveyor,HanmiGlobal Saudi,Riyadh,https://sa.indeed.com/rc/clk?jk=49f61846d72f401e&bb=B3RIGFalWK7kEwC_8VHgPN-FyObwSC0BxjSZqKh8Te8KPnjj0x4u47dgMsrRHM6qVfmn_IQEYkPUUufxWsXUVdpukzx49tK92zpi9ipMKz-3wkoAiXexJPJNiXlAGFscnhqymSXzzNMyZUnNRqGn_Q%3D%3D&xkcb=SoDy67M3iLE1vMzDYB0PbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrWk1Uc7JPrd7pIy8Uuq7iJ5WOxvghNOg8rM6Po_qXQU-g&atk=1jqb6ej3v26s7001,"Bachelor’s degree or diploma in Surveying, Civil Engineering, or a related field. Experience working on projects in Saudi Arabia or similar environments is advantageous.",,,indeed_sa,2026-06-05 06:10:13.475651+00:00
IT Manager,Applus,Riyadh,https://sa.indeed.com/rc/clk?jk=ad21670a15101d68&bb=B3RIGFalWK7kEwC_8VHgPA6MoryuWJAhLs1i_ob9VvMBM_GMcVrnwnFXDCdIHiVgzl3B8CsxsPgdTw0qJyRFWUgs3MDHkoRESUXMcdjfAxk0UdQs58Aui0HKN6xbRHFmtNtg2Kf7cmFqwpjLUcIesw%3D%3D&xkcb=SoB867M3iLE1vMzDYB0IbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrWk1Uc7JPrd7pIy8Uuq7iJ5WOxvghNOg8rM6Po_qXQU-g&atk=1jqb6ej3v26s7001,Participates in projects with other Divisions or Departments both nationally and internationally. Master of Science in Information Technology or an MBA with a focus on technology management is…,,,indeed_sa,2026-06-05 06:10:13.427849+00:00
AI Software Engineer / LLM Engineer,TAWANTECH,Riyadh,https://sa.indeed.com/rc/clk?jk=2eff4db6eca37532&bb=B3RIGFalWK7kEwC_8VHgPCTiKGFfx1vWHHfFpxgDRy04ZwcCUrF_p9-3hTi2SNqlraAQLa4s1SPvORs5rmRrZIatfw2Gas6vu4y94spII4VeQtDuNf8O4hl7mG_2_1OG0-Mh2Cim2CAfUCxPdPNPZw%3D%3D&xkcb=SoDh67M3iLE1vMzDYB0LbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz-m8DBeU9On53oG-IZdphrWk1Uc7JPrd7pIy8Uuq7iJ5WOxvghNOg8rM6Po_qXQU-g&atk=1jqb6ej3v26s7001,Banking or Financial Services experience. 4+ years of software engineering experience. Experience developing AI copilots or customer-facing AI solutions.,,,indeed_sa,2026-06-05 06:10:13.313439+00:00
Physical Education Teaching Assistant (Local Hire) - Al Waha Campus - Required August 2026,British International School Riyadh (BISR),Riyadh,https://sa.indeed.com/rc/clk?jk=d392f8ba043f1d66&bb=X7LPyDpnD8kknjUc_rQ9PVGHD_gHYR3SVL3CPDeX4BKgz7sRjRYwc5IREheAcbLcr87VEIbNMfR5fiz_BeR-d-wWwJZyd5D1rZb81Ak0a1K8J-EIbwuNFvj2nQfhizRgduUlzFp40NIldwk9NT15EQ%3D%3D&xkcb=SoAp67M3iLCI_ezFwh0IbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40uc0LGaaIq4WxXJEZR6xWcpe-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51p4khmvo800,Certificate of Education (PGCE or B.Ed). Relevant training or qualifications for the specific post. Experience teaching within a Key Stage or subject. Willingness to collaborate with colleagues.,,,indeed_sa,2026-06-05 05:45:44.761338+00:00
Facilities and Maintenance Officer (Local Hire) - Al Hamra Campus - Required August 2026,British International School Riyadh (BISR),Riyadh,https://sa.indeed.com/rc/clk?jk=47906779b91c3ed1&bb=X7LPyDpnD8kknjUc_rQ9PVPM085loljrem8eEfH7MNtCeDf1VjvqZD4MBbGEEffM1_cHA-PBlm-JTRrl9KGmxMcYNSei2NBq17waT4wGr-bixiSb5pxoDYYCHta6i4tufALldUZbLJPEI37jLKO-lg%3D%3D&xkcb=SoAA67M3iLCI_ezFwh0KbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40uc0LGaaIq4WxXJEZR6xWcpe-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51p4khmvo800,Certificate of Education (PGCE or B.Ed). Relevant training or qualifications for the specific post. Experience teaching within a Key Stage or subject. A school with a strong sense of community.,,,indeed_sa,2026-06-05 05:45:44.694646+00:00
Orthopedic Surgery Registrar-(207181)-Abha,Nahdi,Abha,https://sa.indeed.com/rc/clk?jk=f9ef725f74b94dc5&bb=X7LPyDpnD8kknjUc_rQ9PeyWaSEVEqaoTrWEvMU7FFVh2EJrZ7DgNSIgbSt3SVhknNvw2NztOPlah9V4yDEDdtULIxPJDnZHHdqXkdUBAGRnI7M-G5hTJ_gIpsjwY7gqvpUE9Z3cJaQYWXUs60M0iw%3D%3D&xkcb=SoC067M3iLCI_ezFwh0LbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40uc0LGaaIq4WxXJEZR6xWcpe-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51p4khmvo800,Working Hours : 8 net working hours according to shift schedule approved by head of department. 2 years of clinical experience following Master’s degree or is eligible to sit the board examination in…,,,indeed_sa,2026-06-05 05:45:44.648349+00:00
"Sr. Delivery Consultant Security, Professional Services",AWS EMEA SARL (Saudi Arabia Branch) - H11,Jeddah,https://sa.indeed.com/rc/clk?jk=37af27f95df02612&bb=0cCFxE5cVSOJSqYKNaPqrgI2nhaHDY-0edNdHwAc4RbbQQAdkdzn7Rld2kzeHf-5eGWC4vTTKmVE4Bj6dbGLBIbmSmmPpJnEtIQo138fBClVdpCaBwowT59FJevYmPNUtPbvyqAc0fPHVll9OPM63Q%3D%3D&xkcb=SoCX67M3iLCJVCTDah0TbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40vKw1hOrGDl9iPJ1YaNliQie-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51kcq26s7009,"Experience in external or internal customer facing, complex and large scale project management. Experience in cloud based solution (AWS or equivalent), system, network and operating system.",,,indeed_sa,2026-06-05 05:45:41.048020+00:00
Senior ITS Operations Manager,AtkinsRéalis,Riyadh,https://sa.indeed.com/rc/clk?jk=6cfe4f380431de74&bb=0cCFxE5cVSOJSqYKNaPqrp0VWU5zSOmvND_dEuP-7LfJIIpZ9MsnIEta_U0udTH8TvU72Irp5GeSQTz2R-_b_GmO87y1fqe_bhmGdZhAbTs0qHmv_Dxp5mU3uKYE9tpYoZRv6U4o-8O6aqd1UfaW3g%3D%3D&xkcb=SoB-67M3iLCJVCTDah0cbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40vKw1hOrGDl9iPJ1YaNliQie-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51kcq26s7009,He shall be responsible for all ITS-related technical deliverables on behalf of the Employer and shall ensure that no scope or responsibility gaps exist across Contractors or systems.,,,indeed_sa,2026-06-05 05:45:40.989675+00:00
"Core/Reservation Agent, Four Seasons Riyadh",Four Seasons,Riyadh,https://sa.indeed.com/rc/clk?jk=e5dcbd5cee9e17e2&bb=0cCFxE5cVSOJSqYKNaPqrkWKGIX3ZDtqCeD3nF2H9NTLOcLAWqqdLdf4BGSzy8LOocbG96UQ_lc7oYVNAkkW3oidjC1pHSBoGiCKpOBiCbfQv9MQZY2vANlB1XOyTQa1vvrjZyQDfbDz4OWQ6lWKhw%3D%3D&xkcb=SoDK67M3iLCJVCTDah0dbzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40vKw1hOrGDl9iPJ1YaNliQie-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51kcq26s7009,"College education or equivalent experience. With your unwavering dedication and enthusiasm, you will play a key role in ensuring that every guest receives the utmost care and attention.",,,indeed_sa,2026-06-05 05:45:40.895148+00:00
Coating Technician Cum Applicator,Blue Hat HR Services,Buqayq,https://sa.indeed.com/rc/clk?jk=2e3bb019f87f629f&bb=0cCFxE5cVSOJSqYKNaPqrnuqu0jYsQy1yurdzOjSbvToyAc02nErEW_XJ39xWBLlI827csjf_8zQm8x4MPHJ1gm7LkwXkacdQ0wf81ovKT1fQAtU6dhmwgj94ZcXLk-9hW5pPikWnO-nab0zFU8hRg%3D%3D&xkcb=SoBX67M3iLCJVCTDah0ebzkdCdPP&rjs=0&qd=Xd-cji1-rrfYy0m8LpokE8dF20pwsUrmctm8cTGFOXDOAPLLNYb6wmUg8gjYJafwpsXE23qShaYtGgdtUJu_X5BBGG-ayCiM-gQi8HpsYsLtZozk31ERKPJGlDLUboAG50chrnGX4B46HyqhlSj9xMohy02t3MX0n-6xoRHLk5Oh8V2c0duIS4mZo0TAq11Zl61No7XvcMPz961yBIpblougDO3NlIXerppYqweTrkxdIR2u4KVXi5XGrbZ08pfBgjrEyAE0GkSkYu3jG0wyz60znuYtJlxdE33mYAPk40vKw1hOrGDl9iPJ1YaNliQie-gH5vV3MHWRwvMRdiDkCQ&atk=1jqb51kcq26s7009,"Collaborate with engineers and supervisors for project success. Annual or semi-annual vacation, as per your choice with free air tickets. We are hiring experienced Coating Technicians for offshore…",,,indeed_sa,2026-06-05 05:45:40.758836+00:00
