Title,Company,Location,URL,Description,Tags,Salary,Source,Scraped At
Enterprise Customer Success Manager,Glassbox Ltd.,Remote,https://uk.indeed.com/rc/clk?jk=b950bd6e5ffa8611&bb=3zrHdXyvD1BdOmZebIe94pQhG0tLF7qPhLLcBAvLTR-2T5EQ_0Q-WpfmMwkD5HilleL8bqpZdw24REHssvvHxW1YAK656fgmQZxWXe3ysi575nf4LwV9E2SLRowoSM8onvp6RwJPdjMvunl-txEH9y7NRKFn7eqEsqYijLBJepJoU6q2fVnm70vb6oxciIZh5-k6Fuk006hXB0cMV5b1bDjXws8WAzt39Zr82VKE9zc60FY3imwklQ%3D%3D&xkcb=SoDg67M3iNMNlKzDaJ0ubzkdCdPP&fccid=fdbf4b3294917179&vjs=3,"Bachelor's degree or equivalent experience; MBA or consulting background is a plus. Background in digital experience analytics, digital experience optimization,…",,,indeed_uk,2026-06-05 23:31:17.303064+00:00
Platform Architecture Lead,FactSet Research Systems,Remote,https://uk.indeed.com/rc/clk?jk=0ed6b9f147ca0cd6&bb=3zrHdXyvD1BdOmZebIe94s-UPPk7XRJsoNkAVAUEKW-fZWXbrkUQ-oz80AJcB8ZiUu43VKXKT9Qg3GtXv_5770Pjnxuy2Vq8rIed-Em2zDREtYYnMV2T6ctIPJOr4-eLbrKlLX7SpKEY_9F63mHikex41CZF6QkwqgeZlGY6gSR86fP3DM-Jd6r1TWQlbBryj_w0MlRjUq2u2BqDJnZwBTV3iGsB8IsgfVJ4EzwQdXw%3D&xkcb=SoBU67M3iNMNlKzDaJ0vbzkdCdPP&fccid=7ca19d158e5b580d&vjs=3,B.S. or M.S. in Computer Science (or equivalent field). Familiarity with developer portals and service catalogs (Backstage or equivalent).,,,indeed_uk,2026-06-05 23:31:17.247073+00:00
Senior Mobile Engineer (React Native & Frontend),Ocean Technologies Group,Remote,https://uk.indeed.com/rc/clk?jk=0feb4faf7dffc7ee&bb=3zrHdXyvD1BdOmZebIe94oqYLqK_i9oE6nVBLT90o_cx-PO2umhHkmiVIQEMKIx8rBspohE2HiAfaX7pEtb9D-QmDP5Gm85s5j3U2LGR_UwylMfBQt50dS5NC5rwiK99urltbMPvNtxuD2BorJDFSg9X1wIZBgghzQwq82HXYp7ItrZu9CEbDlmWpkNuQEEE2iSpQfNxcj5pk7lMBbB-e33uc6pzzFpSB1o8N3Vt4PyglHw6Q-fYJg%3D%3D&xkcb=SoBu67M3iNMNlKzDaJ0pbzkdCdPP&fccid=19f30c9c4ed02579&vjs=3,State & Styling: Your preferred modern styling stack. Ship to Production: Take full ownership of the lifecycle for both iOS and Android platforms.,,,indeed_uk,2026-06-05 23:31:17.191812+00:00
"Senior Partner, Strategic Finance",Mews,Hybrid work,https://uk.indeed.com/rc/clk?jk=a5eee61cc94311ee&bb=3zrHdXyvD1BdOmZebIe94m_o5nM5Su9OlEJD-EiNmCBHd49TloShetdVaq251a7h7EkaUdC1UaCENPi-QrC-wYr9rmjKeZPN_UDa_xWRyGDvxyTFm1DHnwiLfaq5lOTcBjVmZ0qEOM6rv7gjInn7W_FdEeeftfST7AEJsmZi3O_EAavZV_rlWTYG6bvvBzYFTBpkUkGL3QfGHne8DIkSbpNZ4pYrge-vaeFZZUConyF1BLSJki3WZA%3D%3D&xkcb=SoDz67M3iNMNlKzDaJ0qbzkdCdPP&fccid=fc7e67df2531e091&vjs=3,"Some exposure to computer science, software development, or data engineering — formal study or self-directed — is a genuine plus, but not required.",Unlimited paid holidays,,indeed_uk,2026-06-05 23:31:17.129600+00:00
"FSI Account Executive, Enterprise Field",Alteryx,Remote,https://uk.indeed.com/rc/clk?jk=1a77e64a0c599b2a&bb=3zrHdXyvD1BdOmZebIe94s-UPPk7XRJsJnb7sjBd9CU8Lfdr-yoS7x9RFRAE1zD3cRGKM4aYM3yNW4RWIcy0alogyMgFxrFMI__Y8M6y7syfAyZ2WnPRRtnpPLb_GQllyScX3DtZlGdd79bhVzVQ7xgBqfF_jbbAkCjINtm2RfaSsiKCi1xKBHM3tXnQqAiAtzkBctnVY5IUHyWXZHdiuX0JgnES2aXfisLHbPeU_9HmihGT2-n1mA%3D%3D&xkcb=SoBH67M3iNMNlKzDaJ0rbzkdCdPP&fccid=4334ccc82f098434&vjs=3,Bachelor’s degree or equivalent work experience. Minimum of 7 years of quota-carrying sales experience at a software/technology company.,,,indeed_uk,2026-06-05 23:31:17.067459+00:00
Microsoft Training Specialist,Technology Services Group,Remote,https://uk.indeed.com/rc/clk?jk=fd358d7ddba11b8c&bb=3zrHdXyvD1BdOmZebIe94jbjrNvO3-Phcq0cxyj8rlg8osFq6HNBC81R0JoPynb5slIAaaFYn8SipJeT4oxAd4xkNI0JEEKSXEMtZE2PtZCp723vpBZBc_ZLV5i6jBoKpmNICaPFY7a6Cf62JM008wMS8qe86CzLnVFh7xgE-wiKgtqXznIxLBqWFbIaAl61ZLxtS5SE62n6dH4WU6SXKIW2dYrE2xBOJ0gDN9wV5HEEJNGvLlbWpg%3D%3D&xkcb=SoD867M3iNMNlKzDaJ0UbzkdCdPP&fccid=42fc60ce2e5207be&vjs=3,"Good standard of education, with a Level 5 or higher qualification or relevant experience. As a Microsoft Training Specialist, you’ll bring learning to life,…","Annual leave,Employee discount,Sick pay,Employee assistance programme,Company pension,Car scheme",,indeed_uk,2026-06-05 23:31:17.009693+00:00
Safety & Compliance Lead - Maritime Autonomy,SKD SE,Remote,https://uk.indeed.com/rc/clk?jk=75ee4eaa832c459b&bb=3zrHdXyvD1BdOmZebIe94lhrLfpVOivPcB-2MOJjRUUaS2RPRWZn4h0KvihBzdyda7JGYdsLSJYnq7iGdltZcuICfGNSVlRNQ4jMO28zKV_NHMtpGgTustF2hvn7vL1oke4GL2ycjf8l_H8ZbVXRkLP2vTQXMiXH5JHeYFyOhRLyHaK6Vwue5WzTk4qTYe2hUEr183-s7g3D2fbbxm5rKed33gqyiVWSbCWudi6zCmcC_jPDnfsQHw%3D%3D&xkcb=SoBI67M3iNMNlKzDaJ0VbzkdCdPP&fccid=c24956b8c4797aea&vjs=3,Manage the variations in software and hardware development standards required for different global markets. As the maritime industry shifts toward full autonomy…,,,indeed_uk,2026-06-05 23:31:16.938994+00:00
Software Developer,OneOcean Group Limited,Remote,https://uk.indeed.com/rc/clk?jk=fc8e622c3ab1dc1d&bb=3zrHdXyvD1BdOmZebIe94t-OINrLfXq16qpGtWS_VVUrTb19JBPa1HRvlLxZ0kZZOPmQ9OgDXhaCJU00582IO_s3SSWhLgbIQrf-vZ_g2hfJt1TPbDS5RyX4w1-yrYqixTjklMZ1-KXoLA1dDqzwtf9BENCjCOfCdeR2g6Jy2NXqUxH-tB_48p-vQg9e230L-_WOMwugZM_WSGms90r1h0WnVib8Rmc6IByJgYBnujyvjW7im6gTAw%3D%3D&xkcb=SoDV67M3iNMNlKzDaJ0WbzkdCdPP&fccid=c5932f7e51f0c1e5&vjs=3,Knowledge and experience in Maritime or GIS. Create and maintain comprehensive documentation for software solutions. 5+ years in commercial development.,"Employee assistance programme,Company pension",,indeed_uk,2026-06-05 23:31:16.867520+00:00
Senior Mobile Engineer (React Native & Frontend),OneOcean Group Limited,Remote,https://uk.indeed.com/rc/clk?jk=14731a6f58ed8c92&bb=3zrHdXyvD1BdOmZebIe94if45NlvX-neTskhqEFCtaTbE_O0xKKb6_uWgEcQQks2dE4HuPeuN7QsGg3nEJhcswXl4471xVj-WSAPgoIISlb2mfDHSUmbBBr-iquaXWYgaO2uQZgpAtX6IjZkkJupsEPQDwdZvLBktA0ka2De9SHCon8m3jlYs_XWxrhSKbpHUenU0TOmpcye8iJ6LVMPivvn2hekClU0lNNv4QZuXYElXOm_p6djbw%3D%3D&xkcb=SoBh67M3iNMNlKzDaJ0XbzkdCdPP&fccid=c5932f7e51f0c1e5&vjs=3,State & Styling: Your preferred modern styling stack. Ship to Production: Take full ownership of the lifecycle for both iOS and Android platforms.,,,indeed_uk,2026-06-05 23:31:16.816031+00:00
Talent Acquisition Partner,Biocomposites,Remote,https://uk.indeed.com/rc/clk?jk=f122f355ebc59fe1&bb=3zrHdXyvD1BdOmZebIe94jbjrNvO3-PhgAbViahiBMY_ReXYIz9ufRgC7UngsJPi__Vm8lgFtJSDFXbSZ9sm4iGsIvHB1mp3HKB4jnHvPYFbVSqBYUI6akfoTgUf3gcIb4adIbBWPf5w4f19qlUvY_E9fDkhQbVfKgd-y16VTfFH_Tctg1eQl-63jxwE2t6dvOFni3Ctnb5WZ04Q6HKTLF24NvK_qAjWe6NRQg_Cn2Q9yjsOUwdaRg%3D%3D&xkcb=SoDv67M3iNMNlKzDaJ0QbzkdCdPP&fccid=43eb6cc8adc7cecd&vjs=3,"CIPD qualified or with equivalent experience. Experience of managing the full resourcing life cycle. Experience in life sciences, manufacturing, or engineering…","Free or subsidised travel,Employee discount,Free parking,Company pension,Company events,On-site parking",,indeed_uk,2026-06-05 23:31:16.740490+00:00
